Condition,Rate
Normal,55
Normal,58
Normal,57
Normal,60
Normal,58
Normal,56
Normal,57
Normal,56
Normal,54
Normal,54
Normal,53
Normal,54
Normal,54
Normal,54
Normal,53
Normal,55
Normal,55
Normal,53
Normal,53
Normal,52
Normal,50
Normal,49
Normal,49
Normal,54
Normal,51
Normal,51
Normal,49
Normal,48
Normal,48
Normal,47
Normal,47
Normal,47
Normal,47
Normal,47
Normal,46
Normal,47
Normal,45
Normal,50
Normal,44
Normal,45
Normal,47
Normal,48
Normal,49
Normal,52
Normal,50
Normal,49
Normal,48
Normal,47
Normal,47
Normal,46
Normal,46
Normal,47
Normal,46
Normal,49
Normal,48
Normal,47
Normal,46
Normal,45
Normal,48
Normal,43
Normal,43
Normal,51
Normal,49
Normal,52
Normal,49
Normal,49
Normal,47
Normal,47
Normal,45
Normal,48
Normal,47
Normal,43
Normal,43
Normal,44
Normal,44
Normal,44
Normal,44
Normal,44
Normal,45
Normal,49
Normal,47
Normal,47
Normal,52
Normal,46
Normal,46
Normal,45
Normal,48
Normal,50
Normal,50
Normal,50
Normal,48
Normal,47
Normal,48
Normal,45
Normal,45
Normal,45
Normal,46
Normal,47
Normal,47
Normal,47
Normal,47
Normal,49
Normal,46
Normal,46
Normal,46
Normal,46
Normal,55
Normal,54
Normal,52
Normal,52
Normal,54
Normal,53
Normal,53
Normal,51
Normal,55
Normal,47
Normal,53
Normal,60
Normal,65
Normal,78
Normal,65
Normal,61
Normal,52
Normal,53
Normal,62
Normal,58
Normal,55
Normal,54
Normal,63
Normal,65
Normal,68
Normal,85
Normal,54
Normal,51
Normal,56
Normal,79
Normal,73
Normal,58
Normal,64
Normal,58
Normal,62
Normal,65
Normal,60
Normal,57
Normal,55
Normal,60
Normal,64
Normal,62
Normal,75
Normal,74
Normal,76
Normal,67
Normal,90
Normal,89
Normal,83
Normal,100
Normal,114
Normal,109
Normal,64
Normal,83
Normal,86
Normal,67
Normal,112
Normal,133
Normal,94
Normal,85
Normal,64
Normal,56
Normal,64
Normal,106
Normal,99
Normal,63
Normal,63
Normal,63
Normal,61
Normal,61
Normal,50
Normal,71
Normal,67
Normal,63
Normal,53
Normal,56
Normal,56
Normal,57
Normal,60
Normal,60
Normal,61
Normal,54
Normal,53
Normal,56
Normal,59
Normal,51
Normal,57
Normal,73
Normal,71
Normal,57
Normal,53
Normal,58
Normal,54
Normal,55
Normal,54
Normal,54
Normal,54
Normal,56
Normal,56
Normal,57
Normal,55
Normal,57
Normal,57
Normal,74
Normal,59
Normal,83
Normal,60
Normal,62
Normal,58
Normal,57
Normal,59
Normal,60
Normal,62
Normal,77
Normal,86
Normal,61
Normal,67
Normal,76
Normal,57
Normal,58
Normal,56
Normal,54
Normal,64
Normal,71
Normal,54
Normal,57
Normal,62
Normal,51
Normal,55
Normal,51
Normal,51
Normal,63
Normal,74
Normal,58
Normal,57
Normal,57
Normal,53
Normal,54
Normal,55
Normal,56
Normal,58
Normal,57
Normal,69
Normal,54
Normal,57
Normal,72
Normal,85
Normal,91
Normal,65
Normal,67
Normal,57
Normal,55
Normal,56
Normal,58
Normal,57
Normal,58
Normal,58
Normal,57
Normal,64
Normal,60
Normal,56
Normal,56
Normal,63
Normal,65
Normal,55
Normal,57
Normal,61
Normal,57
Normal,59
Normal,57
Normal,59
Normal,61
Normal,56
Normal,56
Normal,56
Normal,56
Normal,56
Normal,54
Normal,56
Normal,50
Normal,48
Normal,52
Normal,51
Normal,49
Normal,46
Normal,46
Normal,46
Normal,47
Normal,46
Normal,46
Normal,51
Normal,47
Normal,47
Normal,48
Normal,53
Normal,53
Normal,45
Normal,49
Normal,48
Normal,48
Normal,47
Normal,52
Normal,53
Normal,50
Normal,51
Normal,47
Normal,50
Normal,45
Normal,46
Normal,46
Normal,48
Normal,45
Normal,45
Normal,49
Normal,45
Normal,44
Normal,45
Normal,45
Normal,44
Normal,44
Normal,44
Normal,43
Normal,42
Normal,43
Normal,48
Normal,42
Normal,46
Normal,46
Normal,47
Normal,46
Normal,45
Normal,45
Normal,49
Normal,44
Normal,42
Normal,42
Normal,41
Normal,40
Normal,40
Normal,40
Normal,40
Normal,46
Normal,46
Normal,41
Normal,41
Normal,45
Normal,46
Normal,42
Normal,47
Normal,50
Normal,45
Normal,44
Normal,42
Normal,45
Normal,42
Normal,42
Normal,42
Normal,41
Normal,42
Normal,41
Normal,42
Normal,42
Normal,42
Normal,45
Normal,45
Normal,44
Normal,51
Normal,50
Normal,45
Normal,51
Normal,49
Normal,56
Normal,53
Normal,52
Normal,53
Normal,64
Normal,68
Normal,71
Normal,71
Normal,87
Normal,75
Normal,67
Normal,61
Normal,80
Normal,65
Normal,67
Normal,77
Normal,73
Normal,90
Normal,64
Normal,64
Normal,62
Normal,58
Normal,55
Normal,55
Normal,58
Normal,56
Normal,56
Normal,58
Normal,72
Normal,70
Normal,67
Normal,58
Normal,67
Normal,62
Normal,65
Normal,51
Normal,54
